视频类型,关联BV号,text,id,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数,点踩数,子分区ID,UP主.x,UP主ID,视频链接,抓取小时,抓取时间,稿件发布时间,UP主.y,UP主ID.y,official_role,official_title,official_desc,official_type,if_state,mid,name,sex,data_follower,archive_count,like_num,condition
相关视频,BV1cT421r7EN,相对论 翻译家 许渊冲 愿望,BV1iK4y177u7,63210,166,178,1143,864,349,9909,0,社会,央视新闻,456664753.0,https://www.bilibili.com/video/BV1iK4y177u7/,202,2024-07-29 01:53,2020-10-26 06:56:27,央视新闻,456664753.0,5.0,央视新闻官方账号,,1.0,1,456664753.0,央视新闻,保密,19538939,7435,351374038,单个自制视频总播放数>=100万
相关视频,BV1C4421U7Sh,袁隆平 爷爷 牛 吉祥 一键 三连,BV1ht4y1z7Nz,3263588,16692,9724,55079,215726,2691,475816,0,热点,新华社,473837611.0,https://www.bilibili.com/video/BV1ht4y1z7Nz/,349,2024-08-04 04:53,2021-01-15 09:44:00,新华社,473837611.0,5.0,新华社官方账号,,1.0,1,473837611.0,新华社,保密,16689285,5404,213681222,
相关视频,BV1f3sveUEvi,暴雨 门卫室 被淹 大叔 窗口 坚守岗位,BV1CmtZePEC8,69437,6,40,17,9,9,1241,0,日常,龙视频longshipin,2112370204.0,https://www.bilibili.com/video/BV1CmtZePEC8/,1545,2024-09-23 00:53,2024-09-20 08:23:00,龙视频longshipin,2112370204.0,5.0,黑龙江广播电视台官方账号,,1.0,1,2112370204.0,龙视频longshipin,保密,12916,2826,4882933,所有自制视频总播放数>=100万
相关视频,BV1Z1421475U,民调 显示 哈里斯 微微 领先 特朗普,BV1Jx4y147h1,557699,905,2542,753,168,2369,11267,0,环球,央视网快看,451320374.0,https://www.bilibili.com/video/BV1Jx4y147h1/,104,2024-07-24 23:53,2024-07-24 02:11:06,央视网快看,451320374.0,5.0,央视网新闻频道官方账号,,1.0,1,451320374.0,央视网快看,保密,1792020,7783,65688189,
相关视频,BV1rf421e7Yo,金色 鱼钩 原型 人物 老红军 王玉清 逝世,BV1gF411d7Ty,279955,1177,788,7001,6995,1536,52131,0,热点,人民日报,1131457022.0,https://www.bilibili.com/video/BV1gF411d7Ty/,843,2024-08-24 18:53,2023-06-26 08:58:46,人民日报,1131457022.0,5.0,人民日报官方账号,,1.0,1,1131457022.0,人民日报,保密,15228335,3044,157344819,单个自制视频总播放数>=100万
相关视频,BV14JxgecEUo,这俩 关系 车厘子 樱桃 猕猴桃 奇异果 主播 三农,BV18C411x73V,1219584,4154,6474,11366,15002,8186,162938,0,三农,央视农业,1343321779.0,https://www.bilibili.com/video/BV18C411x73V/,1575,2024-09-24 06:53,2024-02-20 09:53:13,央视农业,1343321779.0,5.0,CCTV-17农业农村频道新闻部官方账号,,1.0,1,1343321779.0,央视农业,保密,2767418,1247,73437459,单个自制视频总播放数>=100万
相关视频,BV1EopseHEbj,延迟 退休 政策 细则 详细 解读,BV1Vh4be8EFs,1028096,25,49,9531,1347,34831,21131,0,综合,央视新闻,456664753.0,https://www.bilibili.com/video/BV1Vh4be8EFs/,1295,2024-09-12 14:53,2024-09-13 07:01:53,央视新闻,456664753.0,5.0,央视新闻官方账号,,1.0,1,456664753.0,央视新闻,保密,19550189,7442,351768520,单个自制视频总播放数>=100万
相关视频,BV1Fk2ZYWECW,宋佳 演完 张桂梅 后劲,BV1o2mEYgExJ,302572,306,615,2913,3801,564,66553,0,Unknown,央视新闻,456664753.0,https://www.bilibili.com/video/BV1o2mEYgExJ/,276,2024-10-16 05:53,2024-10-15 00:55:57,央视新闻,456664753.0,5.0,央视新闻官方账号,,1.0,1,456664753.0,央视新闻,保密,19557420,7446,351921617,单个自制视频总播放数>=100万
相关视频,BV1j2421Z7Dq,铁饭碗 山东 事关 事业单位 转企 改制 史无前例 砍掉 编制,BV1mH4y1c7os,21237,8,121,50,8,467,205,0,社会,掌闻视讯,2144464488.0,https://www.bilibili.com/video/BV1mH4y1c7os/,388,2024-08-05 19:53,2024-08-05 08:11:25,掌闻视讯,2144464488.0,5.0,重庆时间网掌闻视讯官方账号,,1.0,1,2144464488.0,掌闻视讯,保密,41106,32528,15258731,
相关视频,BV14E421w7wu,半佛 朝鲜 战场 人民 英雄 永垂不朽,BV13Q4y1Q7Jp,1893509,18472,3842,72703,213226,19991,221513,0,人文历史,央视新闻,456664753.0,https://www.bilibili.com/video/BV13Q4y1Q7Jp/,343,2024-08-03 22:53,2021-10-25 10:00:14,央视新闻,456664753.0,5.0,央视新闻官方账号,,1.0,1,456664753.0,央视新闻,保密,19538939,7435,351374038,单个自制视频总播放数>=100万
