"X","视频类型","关联BV号","标题","BV号","播放量","弹幕数","评论数","收藏数","投币数","分享数","点赞数","点踩数","子分区ID","UP主.x","UP主ID","视频链接","抓取小时","抓取时间","稿件发布时间","UP主.y","UP主ID.y","official_role","official_title","official_desc","official_type","if_state"
13003,"相关视频","BV1N2HreuEJm","《黑神话悟空》二郎神 Vs 四渎神龙，以一敌四！","BV1BZ421L7mo",106084,250,114,207,50,162,1746,0,"单机游戏","屏幕另一边的迷云",289334440,"https://www.bilibili.com/video/BV1BZ421L7mo/",1058,"2024-09-02 17:53","2024-09-02 19:20:24",NA,NA,NA,NA,NA,NA,0
13004,"相关视频","BV1N2HreuEJm","暴力拆解游戏数据！揭秘《完蛋美女包围》只有开发者才知道的秘密","BV11x4y1C7uj",1134153,104,435,2440,284,229,18481,0,"单机游戏","离谱的东仔",633193,"https://www.bilibili.com/video/BV11x4y1C7uj/",1058,"2024-09-02 17:53","2024-02-13 09:30:00",NA,NA,NA,NA,NA,NA,0
13005,"相关视频","BV1N2HreuEJm","亢金龙娘是如何被黄眉恶堕的？这过程也太里番了！","BV1TKHpe9E35",80186,77,274,388,42,65,1505,0,"单机游戏","老猫和一修",95193173,"https://www.bilibili.com/video/BV1TKHpe9E35/",1058,"2024-09-02 17:53","2024-09-03 10:00:00",NA,NA,NA,NA,NA,NA,0
13006,"相关视频","BV1N2HreuEJm","深度拆解《黑神话悟空》数据 揭秘玩家看不到的内容 白衣秀士废案？所有boss大对决 谁才是最强BOSS","BV1EVsxe4EQJ",1995804,2012,1419,14152,2189,2124,91099,0,"单机游戏","离谱的东仔",633193,"https://www.bilibili.com/video/BV1EVsxe4EQJ/",1058,"2024-09-02 17:53","2024-08-27 10:46:44",NA,NA,NA,NA,NA,NA,0
13007,"相关视频","BV1N2HreuEJm","能拉屎 能全裸洗澡 还能吃虫子的游戏 游戏幕后大揭秘","BV1mk4y1771t",550380,334,189,1937,296,154,11232,0,"单机游戏","离谱的东仔",633193,"https://www.bilibili.com/video/BV1mk4y1771t/",1058,"2024-09-02 17:53","2023-04-30 12:00:00",NA,NA,NA,NA,NA,NA,0
12138,"热门视频","","【寅子】《黑神话：悟空》4K直播全流程合集","BV1LU411S794",262459,3989,792,3562,2826,1011,5871,0,"单机游戏","寅子",669462270,"https://www.bilibili.com/video/BV1LU411S794/",727,"2024-08-19 22:53","2024-08-20 04:07:39",NA,NA,NA,NA,NA,NA,0
12139,"相关视频","BV1LU411S794","【寅子合集】黑神话悟空 4K","BV192WnevEmW",32163,275,44,349,201,50,355,0,"单机游戏","小六ir",391252008,"https://www.bilibili.com/video/BV192WnevEmW/",727,"2024-08-19 22:53","2024-08-20 05:33:43",NA,NA,NA,NA,NA,NA,0
12140,"相关视频","BV1LU411S794","【寅子4K】《黑神话:悟空》合集","BV1e4WHeMED8",159018,886,146,1253,584,388,1146,0,"单机游戏","蜂蜜夹心蛋挞",3546641235708850,"https://www.bilibili.com/video/BV1e4WHeMED8/",727,"2024-08-19 22:53","2024-08-20 10:00:00",NA,NA,NA,NA,NA,NA,0
12141,"相关视频","BV1LU411S794","【黑神话：悟空】全程通关剧情流程攻略 动作角色扮演ARPG游戏 Black Myth：WuKong","BV14UpQerExB",53858,58,82,773,620,84,1014,0,"单机游戏","康妮鸭_",629237626,"https://www.bilibili.com/video/BV14UpQerExB/",727,"2024-08-19 22:53","2024-08-20 02:53:33",NA,NA,NA,NA,NA,NA,0
12142,"相关视频","BV1LU411S794","【明哥】《黑神话 悟空》全剧情流程！","BV1xtWpe4E4v",13976,27,16,74,53,17,115,0,"单机游戏","明哥player",21692853,"https://www.bilibili.com/video/BV1xtWpe4E4v/",727,"2024-08-19 22:53","2024-08-20 11:15:02",NA,NA,NA,NA,NA,NA,0
